,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,20956,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,34052727956.701244,34052727956.701244,False,,6,,,,2024-07-15T08:00:00.000Z,0.99999834656014,5157661229.140739,32.1748,-0.00718035,-0.03391255,-0.01212589,-0.00031203,0.0018149,-0.00076125,34052671652.5635,1.4775,34052671652.56,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-15 13:32:47.039103
6,52,XRP,XRP,xrp,1352,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,7,,,,2024-07-15T08:01:00.000Z,0.5307846094434273,1541772350.9469135,-41.7679,0.26919326,0.84327216,25.55274089,10.94649221,1.90919192,6.40044258,29620615317.034184,1.2852,53078460944.34,,2024-07-15T08:01:00.000Z,,,,,,2024-07-15 13:32:47.039103
7,11419,Toncoin,TON,toncoin,458,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506950322.5056515,5109001280.195134,True,,8,3414166606.0,25724856356.426872,,2024-07-15T08:00:00.000Z,7.534739608552914,198472941.23183945,15.3092,0.29839935,2.57160903,5.63459911,-6.29012122,11.92673561,18.44434542,18889217891.657833,0.8196,38494994306.03,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:47.039103
8,74,Dogecoin,DOGE,dogecoin,1022,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145122826383.7052,145122826383.7052,True,,9,,,,2024-07-15T08:01:00.000Z,0.11880599933941027,582927966.8526295,-2.3724,0.02348934,4.46689762,14.01102928,-12.78009312,-23.89403208,-24.47974976,17241462415.47583,0.7481,17241462415.48,,2024-07-15T08:01:00.000Z,,,,,,2024-07-15 13:32:47.039103
9,2010,Cardano,ADA,cardano,1212,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35881010640.501,37048613783.371,False,,10,,,,2024-07-15T08:00:00.000Z,0.43845523551376936,375904446.6479187,-3.49,-0.54481939,1.77063315,24.96157134,6.5077918,-4.17011053,-7.21207803,15732216970.85293,0.6826,19730485598.12,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:47.039103
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87122817531.52446,87122888780.67778,True,,11,71659659264.0,9918926319.071978,,2024-07-15T08:00:00.000Z,0.13841715716969638,284650111.1849056,-16.8323,-0.23347479,0.2519746,11.04565454,19.60470786,10.87166449,24.05758428,12059292727.3278,0.5232,12059302589.43,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:47.039103
11,5805,Avalanche,AVAX,avalanche,751,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394492113.6224957,443838483.6224957,False,,12,,,,2024-07-15T08:00:00.000Z,27.164034339740827,263489880.46204886,-11.0454,0.4988104,4.18171393,5.8765068,-10.56156208,-21.86854475,-23.86629445,10715997321.198414,0.465,19442622781.54,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:47.039103
12,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270744583290.5,589519213187356.2,False,,13,,,,2024-07-15T08:00:00.000Z,1.8141780349899466e-05,260132738.34677896,-1.7539,-0.0548633,3.679352,13.44398504,-12.16187699,-29.11919504,-16.92842932,10690420414.851767,0.464,10694928077.69,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-15 13:32:47.039103
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1468888773.7127333,9561601888.208971,,2024-07-15T08:00:00.000Z,6.509411780744475,176568510.76616713,42.6006,0.11575195,4.37073806,9.65385585,4.75090315,-6.42003754,-3.7563157,9360231006.309805,0.4061,9360231006.31,,2024-07-15T08:00:00.000Z,,,,,,2024-07-15 13:32:47.039103
14,1975,Chainlink,LINK,chainlink,1814,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-15T08:00:00.000Z,13.841902404429765,295970426.8141207,18.8353,0.42470131,5.64530346,9.83729136,-7.9019238,-0.75982103,1.11072604,8417260443.144097,0.3652,13841902404.43,,2024-07-15T08:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-15 13:32:47.039103
